,stock,name,pe_ratio,earnings_yield
157,TER,Teradyne,,5.13
158,STX,Seagate Technology,,5.09
159,CLX,The Clorox Company,,5.06
160,LNC,Lincoln National,,5.05
161,PG,Procter & Gamble,,5.04
162,AMCR,Amcor plc,,5.03
163,TMO,Thermo Fisher Scientific,,5.03
164,WMB,Williams Companies,,5.03
165,NWL,Newell Brands,,5.02
166,CL,Colgate-Palmolive,,5.0
167,NRG,NRG Energy,,4.99
168,COG,Cabot Oil & Gas,,4.96
169,DTE,DTE Energy Co.,,4.94
170,SWK,Stanley Black & Decker,,4.87
171,IP,International Paper,,4.85
172,LEG,Leggett & Platt,,4.83
173,LRCX,Lam Research,,4.81
174,MHK,Mohawk Industries,,4.81
175,OTIS,Otis Worldwide,,4.78
176,ATO,Atmos Energy,,4.77
177,CSX,CSX Corp.,,4.77
178,HD,Home Depot,,4.77
179,KLAC,KLA Corporation,,4.76
180,FB,"Facebook, Inc.",,4.71
181,GWW,Grainger (W.W.) Inc.,,4.71
182,PH,Parker-Hannifin,,4.71
183,AOS,A.O. Smith Corp,,4.68
184,CNP,CenterPoint Energy,,4.68
185,CMS,CMS Energy,,4.66
186,HSIC,Henry Schein,,4.66
187,HSY,The Hershey Company,,4.66
188,QRVO,Qorvo,,4.66
189,FMC,FMC Corporation,,4.65
190,AON,Aon plc,,4.63
191,PKG,Packaging Corporation of America,,4.62
192,PCAR,Paccar,,4.62
193,TSCO,Tractor Supply Company,,4.62
194,GRMN,Garmin Ltd.,,4.57
195,AEE,Ameren Corp,,4.56
196,APA,APA Corporation,,4.56
197,ES,Eversource Energy,,4.55
198,CDW,CDW,,4.54
199,MET,MetLife Inc.,,4.53
200,UNP,Union Pacific Corp,,4.53
201,CERN,Cerner,,4.5
202,NDAQ,"Nasdaq, Inc.",,4.5
203,AAP,Advance Auto Parts,,4.49
204,MMC,Marsh & McLennan,,4.48
205,HRL,Hormel Foods Corp.,,4.47
206,PEP,PepsiCo Inc.,,4.46
207,PWR,Quanta Services Inc.,,4.46
208,SO,Southern Company,,4.46
209,GOOG,Alphabet Inc. (Class C),,4.44
210,AVY,Avery Dennison Corp,,4.44
211,GOOGL,Alphabet Inc. (Class A),,4.42
212,KMX,Carmax Inc,,4.35
213,APH,Amphenol Corp,,4.34
214,EMR,Emerson Electric Company,,4.34
215,CHD,Church & Dwight,,4.33
216,WEC,WEC Energy Group,,4.33
217,AAPL,Apple Inc.,,4.32
218,NSC,Norfolk Southern Corp.,,4.31
219,ATVI,Activision Blizzard,,4.3
220,HAS,Hasbro Inc.,,4.29
221,AEP,American Electric Power,,4.28
222,DOV,Dover Corporation,,4.28
